Population Size,Mutation Rate,Crossover Rate,Satisfied Clauses
50,0.01,1.0,135970
50,0.01,1.0,135983
50,0.01,1.0,135971
50,0.01,1.0,136037
50,0.01,1.0,135944
50,0.01,1.0,135908
50,0.01,1.0,136126
50,0.01,1.0,136176
50,0.01,1.0,135951
50,0.01,1.0,136100
50,0.01,1.0,135980
50,0.01,1.0,136153
50,0.01,1.0,136002
50,0.01,1.0,135961
50,0.01,1.0,136194
50,0.01,1.0,136112
50,0.01,1.0,136015
50,0.01,1.0,135986
50,0.01,1.0,136093
50,0.01,1.0,135984
50,0.01,1.0,135638
50,0.01,1.0,136084
50,0.01,1.0,135932
50,0.01,1.0,136024
50,0.01,1.0,135922
50,0.01,1.0,136155
50,0.01,1.0,135958
50,0.01,1.0,136143
50,0.01,1.0,135987
50,0.01,1.0,135892
50,0.01,1.0,135829
50,0.01,1.0,135922
50,0.01,1.0,136056
50,0.01,1.0,136018
50,0.01,1.0,135913
50,0.01,1.0,135978
50,0.01,1.0,135923
50,0.01,1.0,136057
50,0.01,1.0,135941
50,0.01,1.0,135853
50,0.01,1.0,135994
50,0.01,1.0,136192
50,0.01,1.0,135896
50,0.01,1.0,136007
50,0.01,1.0,136227
50,0.01,1.0,136045
50,0.01,1.0,136091
50,0.01,1.0,135996
50,0.01,1.0,136063
50,0.01,1.0,136116
50,0.01,1.0,136137
50,0.01,1.0,135979
50,0.01,1.0,136167
50,0.01,1.0,136179
50,0.01,1.0,136058
50,0.01,1.0,135980
50,0.01,1.0,136062
50,0.01,1.0,136180
50,0.01,1.0,135919
50,0.01,1.0,136001
50,0.01,1.0,136002
50,0.01,1.0,136122
50,0.01,1.0,136003
50,0.01,1.0,136073
50,0.01,1.0,136124
50,0.01,1.0,135999
50,0.01,1.0,136170
50,0.01,1.0,136124
50,0.01,1.0,136065
50,0.01,1.0,136125
50,0.01,1.0,135880
50,0.01,1.0,136076
50,0.01,1.0,136069
50,0.01,1.0,136057
50,0.01,1.0,136032
50,0.01,1.0,135874
50,0.01,1.0,135985
50,0.01,1.0,136128
50,0.01,1.0,136120
50,0.01,1.0,136103
50,0.01,1.0,135979
50,0.01,1.0,135945
50,0.01,1.0,135857
50,0.01,1.0,136020
50,0.01,1.0,135999
50,0.01,1.0,135971
50,0.01,1.0,136126
50,0.05,0.6,136069
50,0.05,0.6,135923
50,0.05,0.6,136050
50,0.05,0.6,135956
50,0.05,0.6,135927
50,0.05,0.6,135794
50,0.05,0.6,136112
50,0.05,0.6,135974
50,0.05,0.6,135814
50,0.05,0.6,136192
50,0.05,0.6,135829
50,0.05,0.6,135882
50,0.05,0.6,135924
50,0.05,0.6,135880
50,0.05,0.6,136020
50,0.05,0.6,135968
50,0.05,0.6,135851
50,0.05,0.6,135850
50,0.05,0.6,136010
50,0.05,0.6,136302
50,0.05,0.6,136030
50,0.05,0.6,136069
50,0.05,0.6,135887
50,0.05,0.6,135956
50,0.05,0.6,136039
50,0.05,0.6,136014
50,0.05,0.6,135998
50,0.05,0.6,135936
50,0.05,0.6,135950
50,0.05,0.6,135861
50,0.05,0.6,136007
50,0.05,0.6,135914
50,0.05,0.6,135774
50,0.05,0.6,135898
50,0.05,0.6,136080
50,0.05,0.6,135867
50,0.05,0.6,135907
50,0.05,0.6,135687
50,0.05,0.6,136035
50,0.05,0.6,135851
50,0.05,0.6,136001
50,0.05,0.6,135995
50,0.05,0.6,135987
50,0.05,0.6,136148
50,0.05,0.6,135833
50,0.05,0.6,136048
50,0.05,0.6,135804
50,0.05,0.6,135949
50,0.05,0.6,135920
50,0.05,0.6,135899
50,0.05,0.6,135928
50,0.05,0.6,135925
50,0.05,0.6,136122
50,0.05,0.6,135896
50,0.05,0.6,136099
50,0.05,0.6,136148
50,0.05,0.6,136073
50,0.05,0.6,136222
50,0.05,0.6,135899
50,0.05,0.6,136127
50,0.05,0.6,135960
50,0.05,0.6,136081
50,0.05,0.6,136148
50,0.05,0.6,136006
50,0.05,0.6,135954
50,0.05,0.6,135986
50,0.05,0.6,135894
50,0.05,0.6,135962
50,0.05,0.6,135972
50,0.05,0.6,135989
50,0.05,0.6,135939
50,0.05,0.6,135743
50,0.05,0.6,135893
50,0.05,0.6,135977
50,0.05,0.6,136061
50,0.05,0.6,136087
50,0.05,0.6,135848
50,0.05,0.6,135979
50,0.05,0.6,135973
50,0.05,0.6,136010
50,0.05,0.6,135881
50,0.05,0.6,135932
50,0.05,0.6,135900
50,0.05,0.6,136095
50,0.05,0.6,135971
50,0.05,0.6,135672
50,0.05,0.6,135903
50,0.05,0.6,135962
50,0.05,0.6,136056
50,0.05,0.6,136036
50,0.05,0.6,136187
50,0.05,0.6,136010
50,0.05,0.6,135831
50,0.05,0.6,136051
50,0.05,0.6,136120
50,0.05,0.6,135901
50,0.05,0.6,135966
50,0.05,0.6,136100
50,0.05,0.6,136067
50,0.05,0.6,135851
50,0.05,0.85,136105
50,0.05,0.85,135950
50,0.05,0.85,135974
50,0.05,0.85,135910
50,0.05,0.85,135946
50,0.05,0.85,136058
50,0.05,0.85,136137
50,0.05,0.85,136100
50,0.05,0.85,136031
50,0.05,0.85,136218
50,0.05,0.85,136126
50,0.05,0.85,135998
50,0.05,0.85,136007
50,0.05,0.85,135995
50,0.05,0.85,135862
50,0.05,0.85,136087
50,0.05,0.85,135966
50,0.05,0.85,135967
50,0.05,0.85,135981
50,0.05,0.85,135976
50,0.05,0.85,136141
