Elitism Count,Tournament Size,Crossover Method,Best Fitness (nsat)
1,3,uniform,135876
1,3,uniform,135651
1,3,uniform,135954
1,3,uniform,135783
1,3,uniform,135793
1,3,uniform,135583
1,3,uniform,135649
1,3,uniform,135675
1,3,uniform,135805
1,3,uniform,136014
1,3,uniform,135767
1,3,uniform,135762
1,3,uniform,135906
1,5,single_point,135898
1,5,single_point,135790
1,5,single_point,136175
1,5,single_point,135681
1,5,single_point,135750
1,5,single_point,136047
1,5,single_point,135965
1,5,single_point,135794
1,5,single_point,135738
1,5,single_point,135907
1,5,single_point,135705
1,5,single_point,135740
1,5,single_point,135648
1,5,single_point,135858
1,5,single_point,135837
1,5,single_point,135694
1,5,single_point,135926
1,5,single_point,136012
1,5,single_point,135661
1,5,single_point,135798
1,5,single_point,135680
1,5,single_point,135782
1,5,single_point,135795
1,5,single_point,135700
1,5,single_point,135810
1,5,single_point,135780
1,5,single_point,135735
1,5,single_point,136043
1,5,single_point,135918
1,5,single_point,135695
1,5,uniform,135889
1,5,uniform,135686
1,5,uniform,135795
1,5,uniform,135923
1,5,uniform,135854
1,5,uniform,135746
1,5,uniform,135823
1,5,uniform,135736
1,5,uniform,135718
1,5,uniform,135898
1,5,uniform,135919
1,5,uniform,135838
1,5,uniform,136036
1,5,uniform,135867
1,5,uniform,135955
1,5,uniform,135897
1,5,uniform,135639
1,5,uniform,135892
1,5,uniform,135872
1,5,uniform,135830
1,5,uniform,136073
1,5,uniform,135915
1,5,uniform,135756
1,5,uniform,135790
1,5,uniform,135951
1,5,uniform,135679
1,5,uniform,135780
1,5,uniform,135781
1,5,uniform,135923
1,5,uniform,135862
2,2,single_point,135665
2,2,single_point,135810
2,2,single_point,135570
2,2,single_point,135541
2,2,single_point,135672
2,2,single_point,135697
2,2,single_point,135598
2,2,single_point,135775
2,2,single_point,135725
2,2,single_point,135874
2,2,single_point,135704
2,2,single_point,136057
2,2,single_point,135552
2,2,single_point,135632
2,2,single_point,135863
2,2,single_point,135508
2,2,single_point,135909
2,2,single_point,135544
2,2,single_point,135780
