python3 lab_2.py -question 3 -wdimacs example.wcnf -time_budget 1 -repetitions 2
Clauses loaded...
Debug: Running first generation...
Debug: Generation 108, Pop Size 100, Total Evaluations 10800
Debug: Generation 109, Pop Size 100, Total Evaluations 10900
Debug: Generation 110, Pop Size 100, Total Evaluations 11000
Debug: Generation 111, Pop Size 100, Total Evaluations 11100
Debug: Generation 112, Pop Size 100, Total Evaluations 11200
Debug: Generation 113, Pop Size 100, Total Evaluations 11300
Debug: Generation 114, Pop Size 100, Total Evaluations 11400
Debug: Generation 115, Pop Size 100, Total Evaluations 11500
Debug: Generation 116, Pop Size 100, Total Evaluations 11600
Debug: Generation 117, Pop Size 100, Total Evaluations 11700
Debug: Generation 118, Pop Size 100, Total Evaluations 11800
Debug: Generation 119, Pop Size 100, Total Evaluations 11900
Debug: Generation 120, Pop Size 100, Total Evaluations 12000
Debug: Generation 121, Pop Size 100, Total Evaluations 12100
Debug: Generation 122, Pop Size 100, Total Evaluations 12200
Debug: Generation 123, Pop Size 100, Total Evaluations 12300
Debug: Generation 124, Pop Size 100, Total Evaluations 12400
Debug: Generation 125, Pop Size 100, Total Evaluations 12500
Debug: Generation 126, Pop Size 100, Total Evaluations 12600
Debug: Generation 127, Pop Size 100, Total Evaluations 12700
Debug: Generation 128, Pop Size 100, Total Evaluations 12800
Debug: Generation 129, Pop Size 100, Total Evaluations 12900
Debug: Generation 130, Pop Size 100, Total Evaluations 13000
Debug: Generation 131, Pop Size 100, Total Evaluations 13100
Debug: Generation 132, Pop Size 100, Total Evaluations 13200
Debug: Generation 133, Pop Size 100, Total Evaluations 13300
Debug: Generation 134, Pop Size 100, Total Evaluations 13400
Debug: Generation 135, Pop Size 100, Total Evaluations 13500
Debug: Generation 136, Pop Size 100, Total Evaluations 13600
Debug: Generation 137, Pop Size 100, Total Evaluations 13700
Debug: Generation 138, Pop Size 100, Total Evaluations 13800
Debug: Generation 139, Pop Size 100, Total Evaluations 13900
Debug: Generation 140, Pop Size 100, Total Evaluations 14000
Debug: Generation 141, Pop Size 100, Total Evaluations 14100
Debug: Generation 142, Pop Size 100, Total Evaluations 14200
Debug: Generation 143, Pop Size 100, Total Evaluations 14300
Debug: Generation 144, Pop Size 100, Total Evaluations 14400
Debug: Generation 145, Pop Size 100, Total Evaluations 14500
Debug: Generation 146, Pop Size 100, Total Evaluations 14600
Debug: Generation 147, Pop Size 100, Total Evaluations 14700
Debug: Generation 148, Pop Size 100, Total Evaluations 14800
Debug: Generation 149, Pop Size 100, Total Evaluations 14900
Debug: Generation 150, Pop Size 100, Total Evaluations 15000
Debug: Generation 151, Pop Size 100, Total Evaluations 15100
Debug: Generation 152, Pop Size 100, Total Evaluations 15200
Debug: Generation 153, Pop Size 100, Total Evaluations 15300
Debug: Generation 154, Pop Size 100, Total Evaluations 15400
Debug: Generation 155, Pop Size 100, Total Evaluations 15500
Debug: Generation 156, Pop Size 100, Total Evaluations 15600
Debug: Generation 157, Pop Size 100, Total Evaluations 15700
Debug: Generation 158, Pop Size 100, Total Evaluations 15800
Debug: Generation 159, Pop Size 100, Total Evaluations 15900
Debug: Generation 160, Pop Size 100, Total Evaluations 16000
Debug: Generation 161, Pop Size 100, Total Evaluations 16100
Debug: Generation 162, Pop Size 100, Total Evaluations 16200
Debug: Generation 163, Pop Size 100, Total Evaluations 16300
Debug: Generation 164, Pop Size 100, Total Evaluations 16400
Debug: Generation 165, Pop Size 100, Total Evaluations 16500
Debug: Generation 166, Pop Size 100, Total Evaluations 16600
Debug: Generation 167, Pop Size 100, Total Evaluations 16700
Debug: Generation 168, Pop Size 100, Total Evaluations 16800
Debug: Generation 169, Pop Size 100, Total Evaluations 16900
Debug: Generation 170, Pop Size 100, Total Evaluations 17000
Debug: Generation 171, Pop Size 100, Total Evaluations 17100
Debug: Generation 172, Pop Size 100, Total Evaluations 17200
Debug: Generation 173, Pop Size 100, Total Evaluations 17300
Debug: Generation 174, Pop Size 100, Total Evaluations 17400
Debug: Generation 175, Pop Size 100, Total Evaluations 17500
Debug: Generation 176, Pop Size 100, Total Evaluations 17600
Debug: Generation 177, Pop Size 100, Total Evaluations 17700
Debug: Generation 178, Pop Size 100, Total Evaluations 17800
Debug: Generation 179, Pop Size 100, Total Evaluations 17900
Debug: Generation 180, Pop Size 100, Total Evaluations 18000
Debug: Generation 181, Pop Size 100, Total Evaluations 18100
Debug: Generation 182, Pop Size 100, Total Evaluations 18200
Debug: Generation 183, Pop Size 100, Total Evaluations 18300
Debug: Generation 184, Pop Size 100, Total Evaluations 18400
Debug: Generation 185, Pop Size 100, Total Evaluations 18500
Debug: Generation 186, Pop Size 100, Total Evaluations 18600
Debug: Generation 187, Pop Size 100, Total Evaluations 18700
Debug: Generation 188, Pop Size 100, Total Evaluations 18800
Debug: Generation 189, Pop Size 100, Total Evaluations 18900
Debug: Generation 190, Pop Size 100, Total Evaluations 19000
Debug: Generation 191, Pop Size 100, Total Evaluations 19100
Debug: Generation 192, Pop Size 100, Total Evaluations 19200
Debug: Generation 193, Pop Size 100, Total Evaluations 19300
Debug: Generation 194, Pop Size 100, Total Evaluations 19400
Debug: Generation 195, Pop Size 100, Total Evaluations 19500
Debug: Generation 196, Pop Size 100, Total Evaluations 19600
Debug: Generation 197, Pop Size 100, Total Evaluations 19700
Debug: Generation 198, Pop Size 100, Total Evaluations 19800
Debug: Generation 199, Pop Size 100, Total Evaluations 19900
Debug: Generation 200, Pop Size 100, Total Evaluations 20000
Generation: 200, Best fitness: 1.8
Debug: Generation 201, Pop Size 100, Total Evaluations 20100
Debug: Generation 202, Pop Size 100, Total Evaluations 20200
Debug: Generation 203, Pop Size 100, Total Evaluations 20300
Debug: Generation 204, Pop Size 100, Total Evaluations 20400
Debug: Generation 205, Pop Size 100, Total Evaluations 20500
Debug: Generation 206, Pop Size 100, Total Evaluations 20600
